model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,params,flops_m,latency_ms,train_time_s_mean,n_seeds
cmlp,0.9995470000000001,7.181573643706814e-05,0.9735822332624963,0.004498853049570616,3402,0.00645,0.18433785159140825,150.9292399469763,5
cnn1d,0.9995240000000001,3.189827581545336e-05,0.9727021311581844,0.0017564910071377808,3742,0.11860200000000001,0.25653944350779057,122.36165187666192,5
fkan,0.9995350000000001,0.00017164643893775676,0.9734755561259719,0.009818342647159072,3280,0.0,0.23644460272043943,130.63856965256855,5
kan,0.9996560000000001,3.2672618505439385e-05,0.9802522890115544,0.0018036267332286727,3321,0.0,0.5858502592891455,151.1609388006851,5
mlp,0.9996389999999999,3.863288754416083e-05,0.9792659199098654,0.002298493757824877,3327,0.0032500000000000003,0.03685252275317907,110.22611064268276,5
