vs,t,p,sig
mlp,0.7549072946049238,0.4731281711677291,n.s.
cnn1d,6.705846511608321,0.00015227459661497,***
fkan,1.5179600842599104,0.19920795144696446,n.s.
cmlp,3.0771421169031057,0.025829346349042673,*
